和暦,西暦,月日,分類,事項,出典
明治二十九年,1896,6月8日,政治・経済,"市有野田墓地の松樹1,700本を入札で払下げた。",金沢の百年　明治編
明治二十九年,1896,6月8日,政治・経済,金石の灯台完成。（下旬より点灯）,金沢の百年　明治編
明治二十九年,1896,6月9日,政治・経済,金沢に電話交換局の開設が決定した。,金沢の百年　明治編
明治二十九年,1896,6月10日,政治・経済,"金沢織物伝習所が小立野新町102番地に創設された。資本金3,000円、綿ネール織等を製織。",金沢の百年　明治編
明治二十九年,1896,6月26日,政治・経済,前年無効を判決された県会議員選挙の再選挙を執行した。市議選同様市会両派の妥協成り高田九八郎、横地正果、児島璋心、山原成太郎を選出した。,金沢の百年　明治編
明治二十九年,1896,6月27日,政治・経済,陸軍に献納した避病院の代地を市は桃畠に求めたが、移転建築完成後に土地購入に関連し疑獄が発生した。,金沢の百年　明治編
明治二十九年,1896,7月5日,政治・経済,石川県農会組織の準備会が博物館で開かれ会則等を決定した。金沢市委員は小池和四郎。,金沢の百年　明治編
明治二十九年,1896,7月11日,政治・経済,（七尾鉄道が土地買収に着手した。）,金沢の百年　明治編
明治二十九年,1896,7月15日,政治・経済,（敦賀、福井間に汽車開通。）,金沢の百年　明治編
明治二十九年,1896,7月17日,政治・経済,山ノ上町飴屋坂通の開通式がおこなわれた。,金沢の百年　明治編
明治二十九年,1896,7月24日,政治・経済,"同業が合併して金沢精練合資会社が成立した。資本金3,700余円、場所は長町川岸44番地、代表社員は野口清右衛門。",金沢の百年　明治編
明治二十九年,1896,7月28日,政治・経済,市営電気事業が許可になった。計画者の長谷川市長は最も喜んだが、避病院疑獄事件や政党分裂等の事があり、ついに市営電気事業実行の機会を失した。,金沢の百年　明治編
明治二十九年,1896,7月29日,政治・経済,第9師団司令部は金沢城内二の丸跡に決定した。,金沢の百年　明治編
明治二十九年,1896,7月30日,政治・経済,第9師団新設兵営は野村、十一屋、長坂、野田にまたがる30万坪の敷地に年末から建築に着手の予定。,金沢の百年　明治編
明治二十九年,1896,8月11日,政治・経済,亀田伊右衛門が同志村彦兵衞、今村勇次郎、松岡忠輔らとはかり実業会を組織、会長に本多政以を推し初会合を古今亭で開いた。（創立当初は政治に関与しないことを決めていた）,金沢の百年　明治編
明治二十九年,1896,9月7日,政治・経済,市収入役山原成太郎が辞表を出した。（疑獄事件の波及をおそれたため）,金沢の百年　明治編
明治二十九年,1896,9月14日,政治・経済,避病院移転用地疑獄事件で市助役高島伸二郎と市会議長横地正果、市議村井与兵衛、野崎庸二、貞成栄多郎らが逮捕された。高島助役は同日停職となった。（横地、村井、貞成らは12月25日証拠不充分で免訴となる）,金沢の百年　明治編
明治二十九年,1896,9月14日,政治・経済,斉藤弥久ら9人から出願中の金城貯蓄銀行の設立が大蔵大臣から許可された。資本金10万円。,金沢の百年　明治編
明治二十九年,1896,10月17日,政治・経済,加能汽船会社の金石、敦賀間直通航路の新造船加能丸（300トン）が金石に着いた。（価格4万円）,金沢の百年　明治編
明治二十九年,1896,10月,政治・経済,（代金引換小包郵便の取扱いが開始された。）,金沢の百年　明治編
明治二十九年,1896,11月1日,政治・経済,小立野上弓ノ町で金沢市蚕糸業組合立簡易養蚕学校が開校した。,金沢の百年　明治編
明治二十九年,1896,11月14日,政治・経済,監獄署移転地の土取場撞木町および鶴間町、上鶴間町、与力町1番丁、下弓ノ町の買収契約が成立した。価格は1坪70銭。,金沢の百年　明治編
明治二十九年,1896,11月,政治・経済,明治商業銀行金沢支店が南町に設置された。,金沢の百年　明治編
明治二十九年,1896,12月6日,政治・経済,三間正弘知事が非職となった。,金沢の百年　明治編
明治二十九年,1896,12月12日,政治・経済,市収入役山原成太郎が辞職した。,金沢の百年　明治編
明治二十九年,1896,12月12日,政治・経済,市の学務委員は今朝から市会議員3人、小学校長2人、市公民1人の6人で組織することに改めた。改選の新委員は上森捨次郎、直江三吉郎、河内山唯次郎、朝日直政（留任）木村篤道（留任）（1人未定）,金沢の百年　明治編
明治二十九年,1896,12月26日,政治・経済,奈良県知事古沢滋（高知県人）が石川県知事に任ぜられた。,金沢の百年　明治編
明治二十九年,1896,月日未詳,政治・経済,歩兵第7連隊は第3師団から新設の第9師団管下に入った。,金沢の百年　明治編
明治二十九年,1896,1月4日,社会・文化,明治24年10月の金沢開始三百年祭の状況を記録した「金沢開始三百年祭記事」が上森捨次郎の編集で刊行された。,金沢の百年　明治編
明治二十九年,1896,1月6日,社会・文化,人形浄瑠璃が材木町3丁目土谷方および高道新町本法寺で今明日興行される。,金沢の百年　明治編
明治二十九年,1896,1月10日,社会・文化,真宗大谷派第四中学寮が本願寺別院内から下本多町葵製糸場へ移った。,金沢の百年　明治編
明治二十九年,1896,1月12日,社会・文化,漢学者教育家大瀬直温東京で死去。明治以後、県下のほとんどの中等学校で教べんをとった。,金沢の百年　明治編
明治二十九年,1896,1月21日,社会・文化,昨年末北陸新報を廃刊した北溟社が、妙慶寺で総会を開き解散を決定した。,金沢の百年　明治編
明治二十九年,1896,1月26日,社会・文化,北溟社解散と同時に職工監督飯尾次郎三郎は部下30人と共に北国新聞に入社、職工部長となった。（飯尾は明治12年北溟社に入社）,金沢の百年　明治編
明治二十九年,1896,1月31日,社会・文化,休刊中の金城新誌が復刊された。（第3次）,金沢の百年　明治編
明治二十九年,1896,3月20日,社会・文化,写真業高山一之死去。68歳。旧本多家の家臣、中村屋弁吉に写真術を学び長崎にも留学、金沢で初めての写真屋を開業した。,金沢の百年　明治編
明治二十九年,1896,4月6日,社会・文化,金子桑の金子清作（旧藩士）死去。80余歳。,金沢の百年　明治編
明治二十九年,1896,4月10日,社会・文化,金沢市会は県知事に北廓移転の意見書を出した。,金沢の百年　明治編
明治二十九年,1896,4月12日,社会・文化,俳人朝見大素の句碑が卯辰山忠魂堂境内に建てられた。,金沢の百年　明治編
明治二十九年,1896,4月15日,社会・文化,忍び込み窃盗で長らく金沢市内を荒しまわっていた大賊二上平吉が、南町憲兵屯所の手で逮捕された。（二上は越中伏木町字港町の旧家で、回漕業を営んでいた）,金沢の百年　明治編
明治二十九年,1896,4月17日,社会・文化,尾山神社境内に幕末の加賀藩功臣関沢安左衛門（遯翁）の碑が建った。,金沢の百年　明治編
明治二十九年,1896,4月,社会・文化,（石川県農学校を羽咋郡火打谷から小松町に移した。）,金沢の百年　明治編
明治二十九年,1896,5月1日,社会・文化,県下の医学教育功労者医師太田美濃里が藍綬褒章を授けられた。,金沢の百年　明治編
明治二十九年,1896,5月7日,社会・文化,北陸人類学会誌第1巻が刊行された。,金沢の百年　明治編
明治二十九年,1896,5月,社会・文化,西田幾多郎が第四高等学校講師を嘱託され独逸語を担任した。（30年山口高等学校教授嘱託に転じた）,金沢の百年　明治編
明治二十九年,1896,6月5日,社会・文化,市は石川県尋常中学校分教場として西町公会堂を貸与した。以後市会は公園内博物館東本館で開いた。,金沢の百年　明治編
明治二十九年,1896,6月14日,社会・文化,帰省中の泉鏡花が家族を引きまとめ1両日中に上京することになった。,金沢の百年　明治編
明治二十九年,1896,6月15日,社会・文化,（奥羽地方に大つなみがあった。）,金沢の百年　明治編
